incident_datetime,address_1,city,state,latitude,longitude,hour_of_day,day_of_week,parent_incident_type,,month_of_year,day_of_month,year
10/10/2008 06:03:00 AM,7100 Block MABER RD,CENTRAL SAANICH,BC,48.5760712,-123.4226919,6,Friday,Other,,10,10,2008
10/11/2008 06:19:00 PM,1100 Block MARCHANT RD,CENTRAL SAANICH,BC,48.5724603,-123.4534598,18,Saturday,Theft of Vehicle,,10,11,2008
10/18/2008 01:36:00 PM,1100 Block VERDIER AVE,CENTRAL SAANICH,BC,48.5779155,-123.4534738,13,Saturday,Property Crime,,10,18,2008
10/06/2008 10:39:00 AM,BRENTWOOD DR & SLUGGETT RD,CENTRAL SAANICH,BC,48.574226,-123.4628098,10,Monday,Traffic,,10,06,2008
10/10/2008 06:12:00 AM,WALLACE DR & MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5946933,-123.4194596,6,Friday,Traffic,,10,10,2008
10/24/2008 08:38:00 PM,1100 Block MARCHANT RD,CENTRAL SAANICH,BC,48.5724603,-123.4534598,20,Friday,Property Crime,,10,24,2008
09/08/2008 09:09:00 PM,PATRICIA BAY HWY & TANNER RD,CENTRAL SAANICH,BC,48.5542628,-123.3926925,21,Monday,Traffic,,09,08,2008
09/13/2008 05:06:00 AM,6900 Block E SAANICH RD,CENTRAL SAANICH,BC,48.5694844,-123.4413775,5,Saturday,Other,,09,13,2008
09/27/2008 04:56:00 AM,1600 Block STELLYS CROSS RD,CENTRAL SAANICH,BC,48.5797456,-123.4307426,4,Saturday,Property Crime,,09,27,2008
09/13/2008 11:28:00 AM,1100 Block VERDIER AVE,CENTRAL SAANICH,BC,48.5779155,-123.4534738,11,Saturday,Property Crime,,09,13,2008
09/15/2008 09:52:00 AM,1100 Block GREIG AVE,CENTRAL SAANICH,BC,48.5669903,-123.4540759,9,Monday,Property Crime,,09,15,2008
09/27/2008 04:39:00 PM,PATRICIA BAY HWY & ISLAND VIEW RD,CENTRAL SAANICH,BC,48.5724431,-123.3983594,16,Saturday,Traffic,,09,27,2008
09/29/2008 11:41:00 AM,6800 Block CENTRAL SAANICH RD,CENTRAL SAANICH,BC,48.5668377,-123.4035394,11,Monday,Traffic,,09,29,2008
09/09/2008 12:56:00 AM,STELLYS CROSS RD & GOWDY RD,CENTRAL SAANICH,BC,48.579708,-123.4443848,0,Tuesday,Other,,09,09,2008
09/29/2008 12:44:00 PM,7800 Block E SAANICH RD,CENTRAL SAANICH,BC,48.5947438,-123.4637375,12,Monday,Theft,,09,29,2008
09/29/2008 04:35:00 PM,8000 Block LOCHSIDE DR,CENTRAL SAANICH,BC,48.5995979,-123.3948418,16,Monday,Theft from Vehicle,,09,29,2008
09/29/2008 05:43:00 PM,PATRICIA BAY HWY & KEATING CROSS RD,CENTRAL SAANICH,BC,48.5641206,-123.3974514,17,Monday,Traffic,,09,29,2008
09/05/2008 10:54:00 PM,700 Block VERDIER AVE,CENTRAL SAANICH,BC,48.5779008,-123.4649476,22,Friday,Other,,09,05,2008
09/29/2008 06:27:00 PM,PATRICIA BAY HWY & KEATING CROSS RD,CENTRAL SAANICH,BC,48.5641206,-123.3974514,18,Monday,Traffic,,09,29,2008
09/05/2008 12:13:00 PM,2100 Block MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941786,-123.4097901,12,Friday,Theft from Vehicle,,09,05,2008
09/29/2008 07:45:00 PM,8400 Block E SAANICH RD,CENTRAL SAANICH,BC,48.6097317,-123.4742068,19,Monday,Other,,09,29,2008
09/05/2008 01:12:00 PM,1600 Block KERSEY RD,CENTRAL SAANICH,BC,48.5676141,-123.4345441,13,Friday,Breaking & Entering,,09,05,2008
09/05/2008 11:41:00 PM,7000 Block WALLACE DR,CENTRAL SAANICH,BC,48.5725039,-123.4515848,23,Friday,Other,,09,05,2008
09/15/2008 11:57:00 AM,7000 Block WALLACE DR,CENTRAL SAANICH,BC,48.5725039,-123.4515848,11,Monday,Other,,09,15,2008
09/15/2008 02:05:00 PM,2200 Block MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941803,-123.4090967,14,Monday,Property Crime,,09,15,2008
09/15/2008 03:22:00 PM,ISLAND VIEW RD & PATRICIA BAY HWY,CENTRAL SAANICH,BC,48.5724431,-123.3983594,15,Monday,Traffic,,09,15,2008
09/23/2008 07:37:00 AM,7900 Block E SAANICH RD,CENTRAL SAANICH,BC,48.5967721,-123.4168635,7,Tuesday,Theft,,09,23,2008
09/06/2008 04:27:00 PM,W SAANICH RD & VERDIER AVE,CENTRAL SAANICH,BC,48.4693079,-123.3326765,16,Saturday,Traffic,,09,06,2008
09/15/2008 04:04:00 PM,KEATING CROSS RD & PATRICIA BAY HWY,CENTRAL SAANICH,BC,48.5641206,-123.3974514,16,Monday,Traffic,,09,15,2008
09/17/2008 07:54:00 AM,LOCHSIDE DR & FERGUSON RD,CENTRAL SAANICH,BC,48.5953396,-123.3946464,7,Wednesday,Traffic,,09,17,2008
09/23/2008 09:42:00 AM,1900 Block POLO PARK CRT,CENTRAL SAANICH,BC,48.5990557,-123.4191171,9,Tuesday,Other,,09,23,2008
09/06/2008 05:01:00 AM,PATRICIA BAY HWY & MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.5941307,-123.3983587,5,Saturday,Traffic,,09,06,2008
